variant,date_num,prob,SE,df,asymp.LCL,asymp.UCL,date,totcases,cases,smoothed_totcases,smoothed_cases
Omicron,18337,3.7704703307898504e-44,2.811723336048873e-43,NA,-5.133829440067616e-43,5.887923506225586e-43,2020-03-16,11,NA,21.88974615252007,NA
Delta,18338,5.067562556283364e-52,3.560174011760113e-51,NA,-6.471056586116962e-51,7.484569097373635e-51,2020-03-17,23,NA,28.36668679032686,NA
Beta,18338,3.889132082705837e-7,1.33174761630318e-7,NA,1.2789547182545379e-7,6.499309447157137e-7,2020-03-17,23,NA,28.36668679032686,NA
Alpha,18338,9.769943727357694e-25,6.051736506078166e-24,NA,-1.0884191223103696e-23,1.2838179968575234e-23,2020-03-17,23,NA,28.36668679032686,NA
C.1.2,18338,2.063509814617931e-65,4.223911625636616e-64,NA,-8.072363678666003e-64,8.48506564158959e-64,2020-03-17,23,NA,28.36668679032686,NA
Other,18338,0.9999996110867918,1.3317476165353984e-7,NA,0.9999993500690553,0.9999998721045283,2020-03-17,23,22.99999105499621,28.36668679032686,28.366675758147693
Omicron,18338,4.2307586624107015e-44,3.1469144423165453e-43,NA,-5.744763103128306e-43,6.590914835610447e-43,2020-03-17,23,NA,28.36668679032686,NA
Delta,18339,7.650273373839226e-52,5.355481984513755e-51,NA,-9.73152447211613e-51,1.1261579146883974e-50,2020-03-18,31,NA,35.89658450403807,NA
Beta,18339,4.204176074518496e-7,1.4324502594254782e-7,NA,1.3966251563995027e-7,7.01172699263749e-7,2020-03-18,31,NA,35.89658450403807,NA
Alpha,18339,1.2101097020238269e-24,7.466786944883777e-24,NA,-1.3424523790182236e-23,1.5844743194229887e-23,2020-03-18,31,NA,35.89658450403807,NA
C.1.2,18339,3.41098477180473e-65,6.957915604023324e-64,NA,-1.3296165514174496e-63,1.3978362468535443e-63,2020-03-18,31,NA,35.89658450403807,NA
Other,18339,0.9999995795823925,1.43245025906002e-7,NA,0.9999992988273008,0.9999998603374842,2020-03-18,31,30.999986967054166,35.89658450403807,35.896569412481895
Omicron,18339,4.747296532452711e-44,3.5221151955860376e-43,NA,-6.428489279504609e-43,7.377948585995151e-43,2020-03-18,31,NA,35.89658450403807,NA
Delta,18340,1.154869229311721e-51,8.055612631978557e-51,NA,-1.463384140277216e-50,1.69435798613956e-50,2020-03-19,34,NA,44.31770034144357,NA
Beta,18340,4.54467409182044e-7,1.5407087600491555e-7,NA,1.5249404114587316e-7,7.564407772182148e-7,2020-03-19,34,NA,44.31770034144357,NA
Alpha,18340,1.4987988351959739e-24,9.212281232436454e-24,NA,-1.6556940595833733e-23,1.9554538266225684e-23,2020-03-19,34,NA,44.31770034144357,NA
